Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Brooklyn,047,3,001800,4,047001800
Brooklyn,047,3,002000,437,047002000
Brooklyn,047,3,002100,"1,573",047002100
Brooklyn,047,3,002200,"1,579",047002200
Brooklyn,047,3,002300,"1,498",047002300
Brooklyn,047,3,002901,"1,083",047002901
Brooklyn,047,3,003000,707,047003000
Brooklyn,047,3,003100,850,047003100
Brooklyn,047,3,003300,"1,135",047003300
Brooklyn,047,3,003400,"1,355",047003400
Brooklyn,047,3,003500,806,047003500
Brooklyn,047,3,003600,"1,826",047003600
Brooklyn,047,3,003700,157,047003700
Brooklyn,047,3,003800,682,047003800
Brooklyn,047,3,003900,956,047003900
Brooklyn,047,3,004100,"1,528",047004100
Brooklyn,047,3,004300,"1,513",047004300
Brooklyn,047,3,004400,964,047004400
Brooklyn,047,3,004500,"1,669",047004500
Brooklyn,047,3,004600,447,047004600
Brooklyn,047,3,004700,657,047004700
Brooklyn,047,3,004900,998,047004900
Brooklyn,047,3,005000,"1,052",047005000
Brooklyn,047,3,005100,992,047005100
Brooklyn,047,3,005201,"1,129",047005201
Brooklyn,047,3,005202,"1,411",047005202
Brooklyn,047,3,005300,844,047005300
Brooklyn,047,3,005400,"1,673",047005400
Brooklyn,047,3,005601,"1,420",047005601
Brooklyn,047,3,005602,920,047005602
Brooklyn,047,3,005800,"1,572",047005800
Brooklyn,047,3,005900,633,047005900
Brooklyn,047,3,006000,"1,108",047006000
Brooklyn,047,3,006200,"1,207",047006200
Brooklyn,047,3,006300,927,047006300
Brooklyn,047,3,006400,"1,491",047006400
Brooklyn,047,3,006500,"2,527",047006500
Brooklyn,047,3,006600,"1,581",047006600
Brooklyn,047,3,006700,"1,485",047006700
Brooklyn,047,3,006800,"1,797",047006800
Brooklyn,047,3,006900,"1,627",047006900
Brooklyn,047,3,007000,"1,039",047007000
Brooklyn,047,3,007100,"1,699",047007100
Brooklyn,047,3,007200,583,047007200
Brooklyn,047,3,007400,"1,481",047007400
Brooklyn,047,3,007500,"2,063",047007500
Brooklyn,047,3,007600,"1,328",047007600
