GEO_ID,CENSUSAREA,income_change_field_1,income_change_Geo_FIPS,income_change_SE_T058_001,income_change_SE_T058_010,income_change_prec_change,NUMPOINTS
1400000US36047065200,0.06700,774,1687326832,114063.00000,107955.00000,-5.35494,0
1400000US36047065400,0.05900,775,1687327032,105213.00000,105208.00000,-0.00475,0
1400000US36047065600,0.05900,776,1687327232,83889.00000,81635.00000,-2.68688,0
1400000US36047065800,0.05900,777,1687327432,85870.00000,86105.00000,0.27367,7
1400000US36047067000,0.08000,781,1687328632,49091.00000,40526.00000,-17.44719,43
1400000US36047067800,0.06400,785,1687329432,61477.00000,18828.00000,-69.37391,47
1400000US36047070000,0.07800,793,1687331632,97206.00000,97206.00000,0.00000,12
1400000US36047070202,2.01200,795,1687331834,39167.00000,,,0
1400000US36047072400,0.07400,800,1687334032,75541.00000,39306.00000,-47.96733,0
1400000US36047073200,0.06200,804,1687334832,68580.00000,53594.00000,-21.85185,27
1400000US36047074000,0.06300,808,1687335632,57321.00000,30341.00000,-47.06826,203
1400000US36047074800,0.06800,812,1687336432,57454.00000,140833.00000,145.12305,31
1400000US36047075400,0.06700,815,1687337032,117750.00000,117750.00000,0.00000,0
1400000US36047076200,0.07300,819,1687337832,41541.00000,45446.00000,9.40035,357
1400000US36047077400,0.05700,824,1687339032,47763.00000,39868.00000,-16.52953,148
1400000US36047078400,0.06500,828,1687340032,64080.00000,98237.00000,53.30368,56
1400000US36047079200,0.08400,832,1687340832,42772.00000,,,582
1400000US36047079802,0.04100,2034,1687341434,43235.00000,50375.00000,16.51440,715
1400000US36047080600,0.06400,837,1687342232,41709.00000,9716.00000,-76.70527,219
1400000US36047082600,0.07700,845,1687344232,37153.00000,70078.00000,88.62003,748
1400000US36047083400,0.04900,849,1687345032,83141.00000,,,17
1400000US36047084600,0.06400,853,1687346232,72533.00000,,,51
1400000US36047085600,0.06100,858,1687347232,45887.00000,,,289
1400000US36047087200,0.05700,866,1687348832,47422.00000,,,116
1400000US36047088400,0.06500,872,1687350032,36504.00000,,,949
1400000US36047089200,0.06900,876,1687350832,27022.00000,,,1036
1400000US36047090200,0.07400,881,1687351832,22176.00000,,,123
1400000US36047091000,0.08200,884,1687352632,11034.00000,,,31
1400000US36047092200,0.06200,889,1687353832,30129.00000,,,155
1400000US36047093600,0.06400,893,1687355232,55917.00000,2499.00000,-95.53088,126
1400000US36047094402,0.04100,896,1687356034,14338.00000,13897.00000,-3.07574,0
1400000US36047095800,0.09000,900,1687357432,63194.00000,31786.00000,-49.70092,171
1400000US36047096400,0.06800,903,1687358032,59671.00000,65438.00000,9.66466,58
1400000US36047098200,0.13300,908,1687359832,18835.00000,8125.00000,-56.86222,0
1400000US36047098800,0.06300,911,1687360432,61373.00000,78355.00000,27.67015,91
1400000US36055014901,3.63200,,,,,,0
1400000US36055014903,20.63100,,,,,,0
1400000US36055015101,20.36500,,,,,,0
1400000US36055015303,1.24800,,,,,,0
1400000US36055990000,0.00000,,,,,,0
1400000US36057070600,0.42300,,,,,,0
1400000US36057072600,42.63200,,,,,,0
1400000US36059300700,0.28900,,,,,,0
1400000US36059301101,0.46500,,,,,,0
1400000US36059301700,0.51800,,,,,,0
1400000US36059302102,1.00200,,,,,,0
1400000US36059302600,0.17600,,,,,,0
1400000US36059303201,0.54800,,,,,,0
1400000US36059303400,0.56900,,,,,,0
1400000US36059304001,0.28300,,,,,,0
1400000US36059304203,0.39300,,,,,,0
1400000US36059404600,0.38400,,,,,,0
